state_name,industry_name,YEAR,workers
California,Accommodation and Food Services,2007,9173
California,Accommodation and Food Services,2008,9493
California,Accommodation and Food Services,2009,9489
California,Accommodation and Food Services,2010,9792
California,Accommodation and Food Services,2011,9907
California,Accommodation and Food Services,2012,10352
California,Accommodation and Food Services,2013,10988
California,Accommodation and Food Services,2014,11368
California,Accommodation and Food Services,2015,12024
California,Accommodation and Food Services,2016,12040
California,Accommodation and Food Services,2017,12186
California,Accommodation and Food Services,2018,12346
California,Accommodation and Food Services,2019,12442
California,Accommodation and Food Services,2020,8787
California,Accommodation and Food Services,2021,10655
California,Accommodation and Food Services,2022,11878
California,Administrative and Support and Waste Management Services,2007,6606
California,Administrative and Support and Waste Management Services,2008,6610
California,Administrative and Support and Waste Management Services,2009,6836
California,Administrative and Support and Waste Management Services,2010,6873
California,Administrative and Support and Waste Management Services,2011,7189
California,Administrative and Support and Waste Management Services,2012,7161
California,Administrative and Support and Waste Management Services,2013,7189
California,Administrative and Support and Waste Management Services,2014,7392
California,Administrative and Support and Waste Management Services,2015,7652
California,Administrative and Support and Waste Management Services,2016,7532
California,Administrative and Support and Waste Management Services,2017,7426
California,Administrative and Support and Waste Management Services,2018,7654
California,Administrative and Support and Waste Management Services,2019,7727
California,Administrative and Support and Waste Management Services,2020,5646
California,Administrative and Support and Waste Management Services,2021,7387
California,Administrative and Support and Waste Management Services,2022,7606
California,"Agriculture, Forestry, Fishing, and Hunting",2007,2949
California,"Agriculture, Forestry, Fishing, and Hunting",2008,2961
California,"Agriculture, Forestry, Fishing, and Hunting",2009,3166
California,"Agriculture, Forestry, Fishing, and Hunting",2010,3299
California,"Agriculture, Forestry, Fishing, and Hunting",2011,3480
California,"Agriculture, Forestry, Fishing, and Hunting",2012,3530
California,"Agriculture, Forestry, Fishing, and Hunting",2013,3197
California,"Agriculture, Forestry, Fishing, and Hunting",2014,3346
California,"Agriculture, Forestry, Fishing, and Hunting",2015,3447
California,"Agriculture, Forestry, Fishing, and Hunting",2016,3297
