state_name,industry_name,YEAR,total_workers,median_wage,mean_wage,total_wage_bill
California,Accommodation and Food Services,2007,9173,14600,21132.643628038808,193849740
California,Accommodation and Food Services,2008,9493,15000,21473.049615506163,203843660
California,Accommodation and Food Services,2009,9489,15000,20653.817051322585,195984070
California,Accommodation and Food Services,2010,9792,15000,20628.24857026144,201991810
California,Accommodation and Food Services,2011,9907,14900,20457.546986978905,202672918
California,Accommodation and Food Services,2012,10352,15000,20796.822836166924,215288710
California,Accommodation and Food Services,2013,10988,15000,21044.35839097197,231235410
California,Accommodation and Food Services,2014,11368,15000,21342.62139338494,242622920
California,Accommodation and Food Services,2015,12024,15600,22458.137890884896,270036650
California,Accommodation and Food Services,2016,12040,16800,23346.919435215947,281096910
California,Accommodation and Food Services,2017,12186,18000,24495.49712785163,298502128
California,Accommodation and Food Services,2018,12346,18200,25750.01862951563,317909730
California,Accommodation and Food Services,2019,12442,20000,26976.112361356696,335636790
California,Accommodation and Food Services,2020,8787,18900,26452.96119267099,232442170
California,Accommodation and Food Services,2021,10655,18000,25215.761614265604,268673940
California,Accommodation and Food Services,2022,11878,20000,29016.76123926587,344661090
California,Administrative and Support and Waste Management Services,2007,6606,19400,28012.262185891614,185049004
California,Administrative and Support and Waste Management Services,2008,6610,20000,30252.615733736762,199969790
California,Administrative and Support and Waste Management Services,2009,6836,20000,29935.07606787595,204636180
California,Administrative and Support and Waste Management Services,2010,6873,19000,29034.047722973955,199551010
California,Administrative and Support and Waste Management Services,2011,7189,18000,28107.572680484074,202065340
California,Administrative and Support and Waste Management Services,2012,7161,19300,29010.22203602849,207742200
California,Administrative and Support and Waste Management Services,2013,7189,20000,30570.888857977465,219774120
California,Administrative and Support and Waste Management Services,2014,7392,20000,31291.989989177488,231310390
California,Administrative and Support and Waste Management Services,2015,7652,20500,32032.39153162572,245111860
California,Administrative and Support and Waste Management Services,2016,7532,21600,34055.991768454594,256509730
California,Administrative and Support and Waste Management Services,2017,7426,24000,35653.400215459194,264762150
California,Administrative and Support and Waste Management Services,2018,7654,25000,37331.5965508231,285736040
California,Administrative and Support and Waste Management Services,2019,7727,26000,38244.60566843535,295516068
California,Administrative and Support and Waste Management Services,2020,5646,28000,40531.37796670209,228840160
California,Administrative and Support and Waste Management Services,2021,7387,28800,40256.97982943008,297378310
California,Administrative and Support and Waste Management Services,2022,7606,30000,45632.08046279253,347077604
California,"Agriculture, Forestry, Fishing, and Hunting",2007,2949,16600,23964.248897931502,70670570
California,"Agriculture, Forestry, Fishing, and Hunting",2008,2961,16600,24309.067882472136,71979150
California,"Agriculture, Forestry, Fishing, and Hunting",2009,3166,18000,25709.322173089073,81395714
California,"Agriculture, Forestry, Fishing, and Hunting",2010,3299,16600,24450.50318278266,80662210
California,"Agriculture, Forestry, Fishing, and Hunting",2011,3480,16000,22776.387931034482,79261830
California,"Agriculture, Forestry, Fishing, and Hunting",2012,3530,17000,25232.56090651558,89070940
California,"Agriculture, Forestry, Fishing, and Hunting",2013,3197,18000,26241.54957772912,83894234
California,"Agriculture, Forestry, Fishing, and Hunting",2014,3346,18000,24875.893604303645,83234740
California,"Agriculture, Forestry, Fishing, and Hunting",2015,3447,19200,27198.73223092544,93754030
California,"Agriculture, Forestry, Fishing, and Hunting",2016,3297,20000,28255.568698817107,93158610
California,"Agriculture, Forestry, Fishing, and Hunting",2017,3256,20800,30293.270884520884,98634890
California,"Agriculture, Forestry, Fishing, and Hunting",2018,3251,21000,30643.42356198093,99621770
California,"Agriculture, Forestry, Fishing, and Hunting",2019,3023,25000,34348.83360899769,103836524
California,"Agriculture, Forestry, Fishing, and Hunting",2020,2233,24000,31872.261531571876,71170760
