Value Added by Industry
Value Added by Industry
"Last Revised on: September 26, 2024"
Line,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Line,,,,,,,,,,,,,,,,,,,
1,"        Gross domestic product",13815.6,14474.2,14769.9,14478.1,15049.0,15599.7,16254.0,16880.7,17608.1,18295.0,18804.9,19612.1,20656.5,21540.0,21354.1,23681.2,26006.9,27720.7
2,Private industries,12022.5,12585.9,12786.8,12431.5,12939.5,13461.1,14092.7,14665.5,15332.5,15951.0,16413.1,17156.3,18097.8,18909.8,18641.7,20871.2,23068.3,24615.6
3,"    Agriculture, forestry, fishing, and hunting",127.1,146.3,146.5,129.3,145.7,179.9,179.5,215.8,200.6,182.1,167.5,176.8,177.1,164.2,162.9,228.6,290.0,274.2
4,"        Farms",98.3,117.9,118.8,102.5,117.0,151.1,148.8,184.5,167.1,146.3,130.3,138.7,136.8,122.6,119.0,183.6,241.9,222.3
5,"        Forestry, fishing, and related activities",28.9,28.4,27.8,26.8,28.7,28.8,30.7,31.4,33.5,35.9,37.2,38.1,40.3,41.6,43.9,45.0,48.1,51.9
6,"    Mining",273.1,314.1,392.5,275.4,306.4,357.8,360.5,388.2,418.1,262.3,211.8,267.3,313.5,294.0,201.9,331.9,460.6,411.8
7,"        Oil and gas extraction",178.7,206.0,271.8,172.6,189.1,219.0,224.9,251.8,268.8,151.6,131.1,161.1,189.2,172.8,103.3,221.4,319.1,257.0
8,"        Mining, except oil and gas",51.8,58.0,61.3,61.5,69.7,76.7,67.0,61.4,57.0,47.9,44.5,52.3,52.5,53.1,57.2,67.7,78.4,83.2
9,"        Support activities for mining",42.6,50.1,59.4,41.3,47.6,62.0,68.6,75.0,92.2,62.8,36.2,53.9,71.8,68.1,41.4,42.8,63.1,71.6
10,"    Utilities",226.7,231.9,241.7,257.8,279.1,288.3,280.7,287.6,299.3,300.5,303.4,313.7,320.4,331.6,345.7,390.8,443.6,446.5
11,"    Construction",697.1,715.7,649.3,565.4,525.7,525.6,554.9,594.7,649.9,715.3,776.8,840.2,889.1,953.0,957.8,1011.7,1114.3,1220.6
12,"    Manufacturing",1793.5,1845.8,1799.6,1695.8,1788.3,1863.1,1921.3,1970.5,2009.7,2071.1,2035.2,2109.7,2261.8,2268.8,2149.5,2408.8,2684.5,2840.4
13,"        Durable goods",1004.2,1031.0,997.7,875.3,954.1,1007.4,1051.9,1083.7,1106.1,1144.5,1139.9,1178.3,1232.5,1262.5,1200.2,1283.5,1399.7,1511.9
14,"            Wood products",31.7,29.1,25.6,21.2,23.3,23.7,25.8,30.2,30.3,31.5,33.7,35.7,36.9,36.8,42.9,59.2,64.1,62.1
15,"            Nonmetallic mineral products",50.5,50.3,44.8,38.8,38.4,38.9,42.7,46.8,48.6,53.0,55.1,58.5,59.4,63.0,63.8,67.8,72.0,76.7
16,"            Primary metals",62.7,64.6,68.9,41.1,50.9,62.6,65.8,62.7,64.5,60.5,57.3,59.8,67.8,67.4,56.2,73.2,84.8,84.0
17,"            Fabricated metal products",126.8,134.8,133.2,117.3,120.0,127.4,138.0,141.0,142.1,144.3,141.8,144.8,151.9,158.8,148.2,147.9,175.5,188.6
18,"            Machinery",121.9,129.6,131.7,118.5,127.3,144.9,153.0,157.2,158.3,149.0,139.4,147.6,154.9,161.0,150.0,157.4,175.6,200.4
19,"            Computer and electronic products",224.0,228.4,229.7,218.5,228.7,227.3,227.9,228.0,231.5,242.4,240.7,248.7,259.9,266.3,273.6,292.5,298.9,308.1
20,"            Electrical equipment, appliances, and components",51.4,50.3,55.5,50.6,50.8,48.3,52.2,57.5,53.4,61.4,56.0,57.6,59.8,60.1,57.7,61.2,69.9,76.1
21,"            Motor vehicles, bodies and trailers, and parts",134.0,125.0,90.3,47.8,88.8,104.5,115.8,123.3,133.0,146.7,155.9,159.1,161.1,161.8,142.6,143.1,160.2,176.4
22,"            Other transportation equipment",96.3,114.3,114.6,117.4,120.8,127.2,126.9,133.2,138.7,148.0,146.8,150.9,159.4,165.6,143.7,153.0,160.4,190.3
