Industry group,Mean digital score (2002),Mean digital score (2016),Score change (2002–2016)
"Professional, Scientific, and Technical Services",43,55,12
Finance and Insurance,39,55,16
Media,33,52,19
Management of Companies and Enterprises,37,51,14
Health Care Services and Hospitals,35,46,11
Real Estate and Rental and Leasing,26,45,19
Information and Communications Technology,32,44,13
Utilities,26,44,18
Wholesale Trade,26,44,18
Oil & Gas Extraction,25,43,18
Educational Services,27,41,14
Retail Trade,28,41,12
Advanced Manufacturing,24,39,15
Other Services (Except Public Administration),21,37,16
Transportation and Warehousing,15,33,18
Basic Goods Manufacturing,15,33,18
"Arts, Entertainment, and Recreation",17,33,15
Construction,12,33,21
Administrative and Support and Waste Management and Remediation Services,19,32,14
"Nursing and Residential Care Facilities, and Social Assistance",23,32,9
Accommodation and Food Services,15,30,15
Mining (Except Oil and Gas),12,30,18
"Agriculture, Forestry, Fishing, and Hunting",7,16,8
