state_name,industry_name,YEAR,firms_01: Total,firms_02: <5,firms_03: 5-9,firms_04: 10-19,firms_05: <20,firms_06: 20-99,firms_07: 100-499,firms_08: <500,firms_09: 500+,establishments_01: Total,establishments_02: <5,establishments_03: 5-9,establishments_04: 10-19,establishments_05: <20,establishments_06: 20-99,establishments_07: 100-499,establishments_08: <500,establishments_09: 500+,employment_01: Total,employment_02: <5,employment_03: 5-9,employment_04: 10-19,employment_05: <20,employment_06: 20-99,employment_07: 100-499,employment_08: <500,employment_09: 500+,annual_payroll_01: Total,annual_payroll_02: <5,annual_payroll_03: 5-9,annual_payroll_04: 10-19,annual_payroll_05: <20,annual_payroll_06: 20-99,annual_payroll_07: 100-499,annual_payroll_08: <500,annual_payroll_09: 500+
Alabama,Accommodation and Food Services,2017,30706,10409,5851,5737,22008,6734,986,29740,955,45537,10474,5872,5799,22158,7955,4008,34133,11377,926785,17264,39387,79370,136137,251691,144089,532777,392938,14083668000,503273000,568455000,1139572000,2212955000,3716786000,2009201000,7951200000,6119915000
Alabama,Administrative and Support and Waste Management and Remediation Services,2017,18899,10164,2848,1717,14777,1931,786,17560,1306,22360,10166,2858,1747,14819,2041,1037,17987,4330,762129,16863,18967,23044,59299,69920,103474,236974,519769,22353838000,601182000,577594000,739453000,1955180000,2419964000,2919555000,7504094000,14613531000
Alabama,"Agriculture, Forestry, Fishing and Hunting",2017,3861,2021,1023,452,3513,236,33,3805,40,3937,2021,1023,452,3513,251,42,3837,70,31380,4102,6721,6050,16995,7772,1901,27980,1693,1259855000,161844000,261175000,256595000,684316000,313249000,72042000,1100495000,85026000
Alabama,"Arts, Entertainment, and Recreation",2017,5438,3014,828,580,4465,685,106,5316,102,5845,3014,828,585,4470,768,122,5420,374,87665,4725,5604,7977,18761,26716,12918,63733,22644,1628420000,147502000,109146000,142092000,414288000,494903000,300378000,1320848000,267614000
Alabama,Construction,2017,37021,21275,6565,4497,32337,3593,582,36558,439,37675,21275,6565,4500,32340,3684,717,36795,847,414860,37425,43465,60340,141230,129976,66031,340650,70503,21099110000,1456700000,1635110000,2640195000,5732005000,6477750000,4098607000,16477640000,4376585000
Alabama,Educational Services,2017,4157,1806,629,587,3033,730,170,3962,181,4398,1811,629,607,3058,788,170,4047,328,131811,2907,4125,7598,14766,28393,27504,71695,55878,3935464000,73016000,73246000,144129000,293134000,624729000,902168000,1894136000,1849859000
Alabama,Finance and Insurance,2017,15817,9667,2224,745,12676,1071,604,14414,1388,36792,9672,2275,910,12902,3390,3717,20100,16673,346205,18361,13782,9538,42142,37048,45530,126294,215414,24232219000,772787000,613338000,537264000,1959265000,2026052000,2733749000,6843815000,16974732000
Alabama,Health Care and Social Assistance,2017,40405,16088,9949,6408,32473,5290,1441,39234,1135,53385,16153,10056,6678,32916,7007,5050,45036,8143,1263870,32095,66547,84647,183516,201245,214665,600149,653741,59268735000,1793769000,2909207000,3798598000,8508733000,9304404000,8189872000,26029639000,32572231000
Alabama,Information,2017,3948,1700,634,326,2697,354,300,3383,547,8645,1700,654,376,2767,427,590,3825,4785,167680,3017,4144,4450,11986,11361,27390,52494,106259,10010460000,149086000,167436000,201089000,532578000,611129000,1697383000,2922938000,6497180000
Alabama,Management of Companies and Enterprises,2017,2328,128,55,43,230,530,615,1375,952,3330,128,55,43,230,540,665,1435,1894,94110,153,235,268,675,5885,15435,21995,72098,9065365000,19158000,20325000,24202000,64225000,353580000,1234165000,1651970000,7412266000
Alabama,Manufacturing,2017,18837,5778,2656,2224,11161,3156,1341,16279,2202,20526,5778,2666,2239,11192,3276,1516,16620,3487,1211697,10719,17917,30249,62832,125774,166638,388530,747111,61328450000,406389000,618583000,1164105000,2345721000,5478892000,7120717000,16411866000,40929155000
Alabama,"Mining, Quarrying, and Oil and Gas Extraction",2017,784,194,48,101,380,154,35,602,161,1022,194,48,101,380,182,39,638,357,23756,274,303,1297,2238,4531,2013,10115,9986,1705319000,17844000,12752000,57954000,109004000,363219000,113593000,662589000,712292000
Alabama,Other,2017,93,87,6,0,93,0,0,93,0,93,87,6,0,93,0,0,93,0,142,103,39,0,142,0,0,142,0,2403000,1987000,416000,0,2403000,0,0,2403000,0
Alabama,Other Services (except Public Administration),2017,51403,31616,10851,4667,47171,3172,420,50829,524,55421,31646,10886,4896,47466,4146,836,52596,2125,409677,60765,70527,61767,193429,113068,34647,344037,48947,10851054000,1471245000,1626190000,1535838000,4642196000,2719650000,917371000,8383319000,1965111000
Alabama,"Professional, Scientific, and Technical Services",2017,42035,27402,5907,3525,36900,2675,1043,40683,1331,47446,27412,5927,3575,36982,3336,1340,41766,5427,505415,44772,39114,47400,131885,86645,91326,312635,188483,36712951000,2206004000,2024004000,2654805000,6911381000,6086913000,7696591000,20821846000,15772973000
Alabama,Real Estate and Rental and Leasing,2017,15851,11641,1586,806,14060,752,441,15289,550,21666,11656,1623,948,14254,1389,2083,17829,3824,115478,17644,9968,9588,37412,21234,24091,83517,28402,4993489000,690564000,403870000,370752000,1476345000,1017765000,953380000,3494100000,1378849000
Alabama,Retail Trade,2017,54926,31112,11081,5408,47640,4287,864,52922,1959,89934,31156,11348,5996,48545,7541,3068,59461,29441,1100124,61166,72402,70910,205041,146483,75700,433194,656724,28756259000,1467391000,1852050000,2120631000,5450925000,4938512000,2692984000,13239120000,15161785000
Alabama,Total,2017,74288,40018,13577,8311,61906,7693,2125,71724,2564,100419,40074,13721,8718,62513,10532,5927,78972,21447,1690061,71821,89534,111193,272548,282771,247601,802920,887141,71746399000,2631606000,2992152000,3989696000,9613454000,10844030000,10528794000,30986278000,40760121000
Alabama,Transportation and Warehousing,2017,12786,6823,1685,1136,9732,1194,580,11586,1153,15490,6823,1686,1146,9743,1354,844,12038,3359,301887,11038,11041,15078,37789,39531,37217,117697,161735,13965590000,427801000,393147000,564464000,1409808000,1634867000,1586491000,4766019000,8180205000
Alabama,Utilities,2017,558,124,135,29,310,98,24,445,105,1694,124,135,29,310,196,91,627,1058,69517,286,890,390,1745,5481,2822,10396,30114,6613483000,9441000,36520000,16919000,73955000,415990000,226855000,742739000,2990995000
Alabama,Wholesale Trade,2017,20005,8308,2893,2204,13534,2692,1313,17638,2327,26250,8313,2920,2329,13691,3650,2422,19890,6256,378965,14139,18909,27727,61905,78513,71456,218100,154993,21178561000,708968000,922290000,1492065000,3172273000,4189049000,3980975000,11668310000,9193935000
Alaska,Accommodation and Food Services,2017,9456,4644,1819,1411,7883,1187,160,9245,197,11090,4654,1826,1446,7935,1595,720,10285,784,139100,6248,12407,18844,37660,42798,18749,100130,38285,3827040000,342061000,282757000,424209000,1052285000,1064020000,424042000,2573052000,1214623000
Alaska,Administrative and Support and Waste Management and Remediation Services,2017,4965,2930,719,412,4118,277,89,4536,402,5888,2930,729,431,4152,387,168,4816,1005,86943,3826,4612,5339,14412,9669,9286,36007,49911,4408696000,199979000,188829000,258369000,676484000,471960000,351631000,1611765000,2728903000
Alaska,"Agriculture, Forestry, Fishing and Hunting",2017,2371,2258,38,5,2331,16,0,2356,3,2406,2258,38,5,2331,16,0,2391,3,2587,1094,236,58,1656,617,0,2472,23,208045000,121299000,7718000,2872000,143450000,41315000,0,195770000,2455000
Alaska,"Arts, Entertainment, and Recreation",2017,2733,1879,361,188,2489,176,9,2703,14,2878,1884,366,213,2524,201,18,2778,54,24086,2005,2316,2697,7440,5997,1188,16291,1559,528772000,128419000,57143000,67850000,274451000,124681000,14898000,454617000,14831000
