,coefficient,std_error,t_stat,p_value
Utilities,51635.75961115118,1318.8282610342924,39.15275486336317,0.0
Management of Companies and Enterprises,50289.06780676413,1652.6067132546145,30.430148566760764,0.0
"Mining, Quarrying, and Oil and Gas Extraction",47404.17027146198,2055.4338511029455,23.06285373573317,0.0
"Professional, Scientific, and Technical Services",38297.72833073799,1512.9592276848302,25.313126507276852,0.0
Public Administration,37133.39265646727,1623.7706022355583,22.86861986868289,0.0
Finance and Insurance,35815.215774516495,1789.865284791586,20.010006383629516,0.0
Information,31561.907614289466,1554.5506597300248,20.302913524716363,0.0
Manufacturing,30441.90096082034,1309.954950761851,23.238891492501914,0.0
Wholesale Trade,29813.822988484524,774.2357382176107,38.50742289050069,0.0
Military,27341.29251503515,1258.574307196781,21.72401928014273,0.0
Transportation and Warehousing,26032.87851307462,624.1203539660075,41.711311524527666,0.0
Educational Services,22835.969044521808,802.024114786156,28.472920730831852,0.0
Construction,21596.08279370582,888.2426189261191,24.3132701961716,0.0
Real Estate and Rental and Leasing,20412.22736121795,1132.7259227857332,18.020446915364833,0.0
Health Care and Social Assistance,18625.752942397772,785.081927498762,23.72459776489651,0.0
Unknown,13008.097284232272,829.9124297338866,15.674060079330719,0.0
Administrative and Support and Waste Management Services,9736.740311908196,676.6144566716877,14.390381724629238,0.0
Retail Trade,7368.042440088352,588.3792791068813,12.522606933528534,0.0
"Other Services, Except Public Administration",7192.270147395916,954.2293556709134,7.537255173143432,5.040412531798211e-14
"Arts, Entertainment, and Recreation",4467.550429219679,843.1315636164614,5.298758369401952,1.1799660315503502e-07
"Agriculture, Forestry, Fishing, and Hunting",3245.9655308921824,1148.633363998791,2.8259370070810506,0.0047195618350384105
