,coefficient,std_error,t_stat,p_value
const,12613.816194025978,518.6872327635851,24.31873274925062,0.0
ind_Administrative and Support Services,9352.674997173046,663.1067479323569,14.104327887381272,0.0
"ind_Agriculture, Forestry, Fishing and Hunting",2263.388880532458,910.8433923828959,2.4849374760364795,0.01296866146643616
"ind_Arts, Entertainment, and Recreation",4417.127489447442,832.2137607762991,5.307683791874688,1.1267011923443704e-07
ind_Construction,21203.462923409206,875.442972726179,24.22026743487405,0.0
ind_Educational Services,22638.52036923778,794.4516474369022,28.495781262805927,0.0
ind_Finance and Insurance,35014.57171507836,1758.6144594545485,19.910317197061186,0.0
ind_Health Care and Social Assistance,18345.524009625176,767.0218508414845,23.91786360388386,0.0
ind_Information,30906.19037450662,1519.3658315710406,20.34150678678175,0.0
ind_Management of Companies and Enterprises,49344.76845253938,1636.626835928886,30.150286778435476,0.0
ind_Manufacturing,30051.57333540148,1269.512273854103,23.671746980569264,0.0
"ind_Mining, Quarrying, and Oil and Gas Extraction",46583.92134619293,1953.6439266730422,23.844632437970933,0.0
ind_Other Services (except Public Administration),6905.513001421988,934.467457811287,7.389784356531906,1.5520917884259688e-13
"ind_Professional, Scientific, and Technical Services",37577.02061559409,1497.7532977657456,25.088925306757215,0.0
ind_Real Estate and Rental and Leasing,20059.94556294074,1119.4255174785446,17.919857328359694,0.0
ind_Retail Trade,7294.392292877087,572.5617575498862,12.739922282080707,0.0
ind_Transportation and Warehousing,25959.53041724575,621.7988518631031,41.749080654399584,0.0
ind_Utilities,50903.29899426607,1288.3647115918527,39.51000717131716,0.0
ind_Wholesale Trade,29407.13460974059,769.7678811724477,38.202600198062356,0.0
workers,0.475405020790123,0.09127362344332687,5.208569604835606,1.9291895947404214e-07
